x,y,z_srtm
460409.28,9255415.00,0.81
459159.59,9259221.17,0.81
459200.74,9250010.89,0.84
458573.34,9253612.65,0.84
457167.87,9251146.71,0.85
462727.81,9250316.54,0.85
462643.18,9257134.93,0.86
456833.86,9253189.07,0.87
457567.14,9253451.40,0.87
455424.96,9253161.47,0.88
460359.22,9253989.74,0.88
458138.06,9249862.92,0.89
466036.15,9249246.04,0.89
460694.45,9253883.03,0.89
458853.12,9254480.78,0.90
460696.71,9258240.58,0.90
460417.10,9250583.22,0.91
462229.84,9253863.40,0.91
463377.20,9258831.68,0.91
459542.32,9259095.32,0.92
454007.01,9252176.55,0.93
463742.54,9251446.94,0.93
462104.88,9256333.74,0.94
462076.31,9252467.11,0.95
466277.87,9254988.14,0.95
457216.40,9254038.93,0.97
461563.88,9252628.64,0.99
517374.54,9259000.26,1.00
517532.18,9259097.16,1.00
517688.17,9259194.97,1.00
515811.16,9258599.64,1.00
515983.42,9258701.39,1.00
516151.81,9258801.00,1.00
516321.44,9258901.40,1.00
515247.47,9258802.97,1.00
515422.55,9258906.72,1.00
515596.98,9259011.02,1.00
515770.19,9259119.21,1.00
515941.40,9259230.97,1.00
516107.74,9259348.50,1.00
514852.15,9259093.22,1.00
515023.68,9259191.84,1.00
515193.90,9259291.04,1.00
515363.20,9259391.00,1.00
515532.34,9259491.47,1.00
515701.94,9259592.78,1.00
515871.72,9259694.33,1.00
516041.45,9259796.16,1.00
516211.46,9259899.14,1.00
516380.17,9260003.70,1.00
516549.30,9260107.72,1.00
516718.17,9260211.61,1.00
516886.72,9260316.06,1.00
517055.97,9260420.95,1.00
517226.11,9260526.29,1.00
517397.32,9260632.00,1.00
517569.64,9260739.27,1.00
517741.97,9260847.66,1.00
517913.08,9260956.58,1.00
518083.63,9261065.27,1.00
518253.85,9261172.21,1.00
518423.38,9261278.39,1.00
518591.93,9261384.69,1.00
518759.79,9261491.68,1.00
518924.75,9261597.69,1.00
519093.34,9261706.24,1.00
519260.42,9261813.88,1.00
519428.33,9261921.95,1.00
519597.06,9262030.60,1.00
519766.12,9262139.87,1.00
519935.82,9262248.23,1.00
520105.81,9262356.06,1.00
520273.03,9262468.03,1.00
520438.37,9262582.78,1.00
514339.64,9259328.03,1.00
514513.06,9259430.41,1.00
514686.62,9259532.33,1.00
514858.76,9259635.30,1.00
515028.46,9259740.02,1.00
457116.80,9250186.63,1.00
461356.19,9248839.80,1.00
456067.61,9251026.27,1.00
457006.38,9251198.68,1.00
457837.75,9250921.22,1.00
455809.08,9253037.47,1.00
456970.10,9252673.71,1.00
461854.42,9251562.76,1.00
454233.33,9254518.16,1.00
454427.47,9254459.33,1.00
454621.84,9254398.40,1.00
454817.40,9254333.76,1.00
455011.77,9254269.12,1.00
455209.70,9254205.43,1.00
455601.37,9254083.38,1.00
455798.03,9254022.09,1.00
456191.40,9253893.07,1.00
460136.20,9252608.88,1.00
454440.79,9254944.55,1.00
454613.07,9254891.60,1.00
454783.67,9254836.26,1.00
454953.51,9254779.20,1.00
455123.31,9254722.97,1.00
455294.11,9254667.20,1.00
455466.93,9254611.58,1.00
455642.34,9254557.58,1.00
455814.83,9254504.49,1.00
455992.95,9254445.55,1.00
456164.33,9254386.45,1.00
456337.91,9254325.25,1.00
456511.91,9254265.77,1.00
456687.46,9254206.43,1.00
456864.40,9254149.14,1.00
457041.56,9254093.61,1.00
459235.87,9253387.89,1.00
454511.34,9255395.03,1.00
454703.49,9255335.41,1.00
454894.95,9255276.74,1.00
455085.39,9255217.85,1.00
455275.66,9255157.09,1.00
455462.12,9255096.63,1.00
455649.68,9255036.08,1.00
455836.31,9254975.31,1.00
456021.97,9254913.89,1.00
456207.39,9254853.40,1.00
456392.41,9254794.00,1.00
456578.45,9254734.96,1.00
456764.91,9254676.43,1.00
